   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   5.0000000e+01	   1.5000000e+02	
   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   1.1000000e+02	   3.3000000e+02	
   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   1.7000000e+02	   5.1000000e+02	
   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   2.3000000e+02	   6.9000000e+02	
   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   2.9000000e+02	   8.7000000e+02	
   1.5100000e+02	   1.3900000e+02	   2.1000000e+01	   3.5000000e+02	   1.0500000e+03	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   5.0000000e+01	   1.5000000e+02	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   1.1000000e+02	   3.3000000e+02	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   1.7000000e+02	   5.1000000e+02	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   2.3000000e+02	   6.9000000e+02	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   2.9000000e+02	   8.7000000e+02	
   1.5800000e+02	   1.4400000e+02	   2.3000000e+01	   3.5000000e+02	   1.0500000e+03	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   5.0000000e+01	   1.5000000e+02	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   1.1000000e+02	   3.3000000e+02	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   1.7000000e+02	   5.1000000e+02	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   2.3000000e+02	   6.9000000e+02	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   2.9000000e+02	   8.7000000e+02	
   1.6800000e+02	   1.5200000e+02	   2.6000000e+01	   3.5000000e+02	   1.0500000e+03	
